"Género","Municipio de Nacimiento","País","Municipio Dirección","Barrio Dirección","Estrato","Estado civil","EPS","Grupo Sisben","Zona","Nivel de formación","Ocupación","Medio de Transporte","Multiculturalidad","Estado","Fecha de Matrícula","Jornada","Programa","Período","Nivel","Edad"
"Masculino","Medellín","Colombia","Envigado","El Portal","4","Separado(a)","EPS Sura","Sin respuesta","Urbana","Pregrado","Empleado","Particular Motocicleta","No aplica","Graduado","2018-11-15T10:00:00Z","NOCHE","01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO","2019-2","SEMESTRE 2","41"
"Masculino","Chinchiná","Colombia","Envigado","El Chinguí","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante básica","Sin respuesta","No aplica","Graduado","2018-02-02T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA MECÁNICA MOTOS","2018-2","SEMESTRE 2","22"
"Masculino","Itagui","Colombia","Itagui","Simón Bolívar","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Empleado","Moto","No aplica","Inactivo","2016-05-10T10:00:00Z","NOCHE","11T-TÉCNICO LABORAL EN AUXILIAR CONTABLE (Solo Estudiantes Antiguos)","2017-1","SEMESTRE 2","32"
"Femenino","Sin respuesta","Colombia","Envigado","Alcalá","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Inactivo","2017-07-04T10:00:00Z","NOCHE","19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL","2018-1","SEMESTRE 2","30"
"Femenino","Medellín","Colombia","Medellín","Belén",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2021-05-04T10:00:00Z","NOCHE","FORMACIÓN EN CONOCIMIENTOS ACADÉMICOS PARA LA ACTUALIZACIÓN DEL DESEMPEÑO DOCENTE CEFIT","2021-1","SEMESTRE 1","48"
"Masculino","Envigado","Colombia","San Rafael","San Rafael","3","Soltero(a)","SISBEN","B2","Rural","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Activo","2021-09-07T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","14"
"Femenino","Medellín","Colombia","Envigado","San Rafael","2","Viudo(a)","EPS Sura","Sin respuesta","Urbana","Media","Empleado","Público Bus o Buseta","No aplica","Cancelado","2018-05-10T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2019-2","SEMESTRE 2","57"
"Femenino","Envigado","Colombia","Envigado","San Rafael","2","Soltero(a)","Savia Salud","B2","Urbana","Básica secundaria","Independiente","Público Bus o Buseta","No aplica","Inactivo","2021-02-12T10:00:00Z","DIURNA","12T-TÉCNICO LABORAL EN AUXILIAR DE RECURSO HUMANO","2021-2","SEMESTRE 2","20"
"Femenino","Medellín","Colombia","Itagui","El Rosario","1","Soltero(a)","EPS Sura","Sin respuesta","Rural","Sin respuesta","Estudiante básica","Público Bus o Buseta","Afrodescendiente","Inactivo","2020-07-24T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","17"
"Masculino","Medellín","Colombia","Envigado","Barrio Mesa","3","Soltero(a)","Savia Salud","Sin respuesta","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Graduado","2018-07-09T10:00:00Z","NOCHE","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2020-2","SEMESTRE 2","37"
"Femenino","Itagui","Colombia","Envigado","San José","2","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Media","Empleado","Moto","No aplica","Graduado","2018-05-16T10:00:00Z","NOCHE","01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO","2019-1","SEMESTRE 2","24"
"Masculino","Envigado","Colombia","Envigado","El Trianón","3","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Media","Estudiante superior","Particular Bicicleta","No aplica","Inactivo","2019-07-19T10:00:00Z","NOCHE","24T-TÉCNICO LABORAL EN MECANICA AUTOMOTRIZ (Estudiantes Antiguos)","2019-2","SEMESTRE 1","29"
"Masculino","Medellín","Colombia","Envigado","Uribe Ángel","4","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Cancelado","2020-07-25T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","17"
"Masculino","Medellín","Colombia","Heliconia","Sin respuesta","2","Unión libre","Cafesalud  EPS","Sin respuesta","Rural","Básica secundaria","Empleado","Moto","No aplica","Graduado","2016-12-16T10:00:00Z","NOCHE","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2018-1","SEMESTRE 2","32"
"Femenino","Medellín","Colombia","Envigado","Los Naranjos","3","Casado(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Desempleado","A Pie","No aplica","Graduado","2020-08-11T10:00:00Z","NOCHE","06T-TÉCNICO LABORAL EN ATENCIÓN Y CUIDADO AL ADULTO MAYOR EN EL DOMICILIO","2021-1","SEMESTRE 1","45"
"Masculino","Medellín","Colombia","Envigado","Vereda - Las Palmas","2","Soltero(a)","Coomeva EPS","A1","Rural","Básica secundaria","Estudiante básica","Particular Automóvil","No aplica","Inactivo","2020-08-06T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","16"
"Masculino","Caldas","Colombia","Envigado","San José","3","Soltero(a)","Coomeva EPS","Sin respuesta","Urbana","Básica secundaria","Desempleado","Público Bus o Buseta","No aplica","Graduado","2017-01-12T10:00:00Z","DIURNA","27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos)","2019-1","SEMESTRE 2","23"
"Femenino","Medellín","Colombia","Envigado","La Magnolia","3","Unión libre","EPS Sura","Sin respuesta","Urbana","Pregrado","Independiente","A Pie","No aplica","Graduado","2018-07-05T10:00:00Z","NOCHE","01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO","2019-1","SEMESTRE 2","34"
"Masculino","Itagui","Colombia","Envigado","Barrio Mesa","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Inactivo","2016-01-19T10:00:00Z","NOCHE","03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA","2016-2","SEMESTRE 1","48"
"Femenino","Cisneros","Colombia","Envigado","El Salado","2","Casado(a)","EPS Sura","Sin respuesta","Urbana - rural","Pregrado","Empleado","A Pie","Desplazado","Inactivo","2020-08-12T10:00:00Z","NOCHE","28T-TÉCNICO LABORAL EN PANADERIA (Estudiantes Antiguos)","2021-1","SEMESTRE 2","43"
"Masculino","Planeta Rica","Colombia","La Estrella","La Tablacita","1","Unión libre","EPS Sura","C2","Urbana - rural","Básica secundaria","Independiente","Particular Motocicleta","No aplica","Activo","2021-07-31T10:00:00Z","NOCHE","25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS","2022-1","SEMESTRE 2","36"
"Masculino","Sin respuesta","Colombia","Envigado","Sin respuesta","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2014-06-21T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2014-2","SEMESTRE 1","25"
"Masculino","Envigado","Colombia","Envigado","Loma Del Barro","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Estudiante básica","Sin respuesta","No aplica","Graduado","2015-07-16T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2016-1","SEMESTRE 2","29"
